gate_count,replica,circuit_seed,mode,circuit_fingerprint,n_h_slots,n_t_slots,n_cnot,n_gates_total,n_quantum_params_if_vqc,r2_holdout,rmse_holdout,mae_holdout,pearson_holdout,spearman_holdout,r2_val,best_val_rmse,train_time_s,epochs_run,n_trainable_total,n_quantum_params
3,0,1051,fixed_e2e,h:0|h:5|h:3,3,0,0,3,3,0.4617624282836914,0.7258779931444378,0.5655261278152466,0.6854231357574463,0.6743854276843215,0.9834936857223511,0.12919173273037163,222.60048484802246,15.0,5599.0,0.0
3,0,1051,param_vqc,h:0|h:5|h:3,3,0,0,3,3,0.45973193645477295,0.7272459118001359,0.5663716197013855,0.6819329261779785,0.6746963446112222,0.9497462511062622,0.22542074686477942,151.88604426383972,15.0,868.0,3.0
3,1,1052,fixed_e2e,"cx:5,0|h:3|t:2",1,1,1,3,2,0.4686926603317261,0.721189753298715,0.5631783604621887,0.6898658871650696,0.6799055838573256,0.9814925789833069,0.1367989373065255,215.42181491851807,15.0,5599.0,0.0
3,1,1052,param_vqc,"cx:5,0|h:3|t:2",1,1,1,3,2,0.46739524602890015,0.7220697445773058,0.5651636719703674,0.6852083206176758,0.6749843996508016,0.9484977722167969,0.22820359306718413,136.65825605392456,15.0,867.0,2.0
3,2,1053,fixed_e2e,"cx:2,5|cx:5,1|t:3",0,1,2,3,1,0.468803346157074,0.7211146226633183,0.5634536147117615,0.6899753212928772,0.6787769248353458,0.9828182458877563,0.13180857480392136,217.1947808265686,15.0,5599.0,0.0
3,2,1053,param_vqc,"cx:2,5|cx:5,1|t:3",0,1,2,3,1,0.46957892179489136,0.7205879925822459,0.5627144575119019,0.686820387840271,0.6736607449667688,0.9378572702407837,0.2506713347043675,128.47456526756287,15.0,866.0,1.0
3,3,1054,fixed_e2e,"h:0|cx:4,5|h:2",2,0,1,3,2,0.4797016382217407,0.7136789222373517,0.5613046288490295,0.6928759813308716,0.6783699974630374,0.9837108850479126,0.1283388437973216,219.7340431213379,15.0,5599.0,0.0
3,3,1054,param_vqc,"h:0|cx:4,5|h:2",2,0,1,3,2,0.4679754376411438,0.7216763425344292,0.5629848837852478,0.686751663684845,0.6762975774512718,0.9523001909255981,0.21961800330659415,144.40442490577698,15.0,867.0,2.0
3,4,1055,fixed_e2e,"h:2|cx:5,1|t:5",1,1,1,3,2,0.46220624446868896,0.7255787085356581,0.5709666013717651,0.682842493057251,0.672597021289856,0.9819971323013306,0.1349212811804307,223.78834295272827,15.0,5599.0,0.0
3,4,1055,param_vqc,"h:2|cx:5,1|t:5",1,1,1,3,2,0.466373085975647,0.7227623114208604,0.5708982944488525,0.6856310367584229,0.6778071138567925,0.9067416787147522,0.3070812946525372,142.85117197036743,15.0,867.0,2.0
