r2,r2_baseline,r2_gain,rmse,mae,pearson,spearman,best_alpha,split_seed
0.47630518674850464,0.47544562816619873,0.0008595585823059082,0.7167917610006816,0.5593390464782715,0.6926676034927368,0.68100501664077,1.0,0
0.47661298513412476,0.4754602313041687,0.0011527538299560547,0.7154525082526033,0.5581850409507751,0.6928364634513855,0.6812389450658355,1.0,1
0.4765318036079407,0.4757201075553894,0.0008116960525512695,0.7139361096468537,0.5570551156997681,0.6927652955055237,0.6811648128184556,1.0,2
0.47666406631469727,0.4758593440055847,0.0008047223091125488,0.7144441165011998,0.5573482513427734,0.6928788423538208,0.6814044656041102,0.1,3
0.4768691658973694,0.4761260747909546,0.0007430911064147949,0.7143534662266874,0.5574314594268799,0.6930217146873474,0.6815784245372903,1.0,4
0.4765106439590454,0.47565722465515137,0.000853419303894043,0.7141813951336378,0.5572800040245056,0.6928786635398865,0.6812346429066352,1.0,5
0.4766262173652649,0.47565221786499023,0.0009739995002746582,0.7156898202649467,0.558474063873291,0.6929337978363037,0.6814350429339646,1.0,6
0.4768490195274353,0.47600895166397095,0.0008400678634643555,0.7187708146771662,0.5607858300209045,0.6930164694786072,0.6814295793102969,1.0,7
0.4766210913658142,0.4759104251861572,0.0007106661796569824,0.7157183856917381,0.5585135221481323,0.6928811073303223,0.6814436946590785,0.1,8
0.4766086935997009,0.4756913185119629,0.0009173750877380371,0.7154690868329406,0.5582593083381653,0.6928429007530212,0.6811648365218121,1.0,9
0.47600841522216797,0.47536081075668335,0.0006476044654846191,0.7126671845898414,0.5563511252403259,0.6925449371337891,0.6811875680406729,0.1,10
0.4760914444923401,0.47528892755508423,0.0008025169372558594,0.7146300533210094,0.5578775405883789,0.6925501823425293,0.681278079307378,0.1,11
0.47580695152282715,0.4751474857330322,0.0006594657897949219,0.715563385822202,0.5584919452667236,0.6923662424087524,0.6807144846004389,1.0,12
0.4768187403678894,0.47590309381484985,0.0009156465530395508,0.7188126080652807,0.5609181523323059,0.6929965615272522,0.6817857459447112,0.1,13
0.4766275882720947,0.4758487939834595,0.0007787942886352539,0.7139364853398986,0.5571721196174622,0.6928838491439819,0.6812102521528208,1.0,14
